id,date,user,pc,from,to,cc,bcc,content,size,attachments,num_to,num_cc,num_bcc,num_recipients,hour,day_of_week,is_offhour,is_weekend,has_attach,has_bcc,is_big_size,is_many_recip,has_sensitive_kw,iforest_score,user_psy_risk,total_risk,label
{D6W3-U7EX34UZ-7370MDEY},2011-01-12 07:39:43,KBP0008,PC-3851,Kirby.Bo.Pollard@dtaa.com,Whoopi.Britanney.Camacho@dtaa.com;Price.Bevis.Pittman@dtaa.com,Byron.Tyrone.Williamson@dtaa.com;Hyatt.Trevor.Hayes@dtaa.com,Kirby.Bo.Pollard@dtaa.com,legislation anderson has st support earlier for york workers van hospital 530 witnesses since cases night eastern ended jmwave warfare edward death poorly serving republican employee overworld philosophy rates has through fast paired artwork chose see 40 areas contributor forbidden catastrophic mid eight retrieval production promise slips course scrap warred impossible travel space return fresh feature strongest faulting cross another 98 spectroscopic january take,66827,2,2,2,1,5,7,2,1,0,1,1,1,1,0,0.6666122621486844,0.0,9.737777687726062,1
{A5R1-L3MP95AX-4150ZYBJ},2010-06-16 13:55:03,AMM0014,PC-7052,Alec.Mannix.Mcneil@dtaa.com,Tasha.Casey.Dalton@dtaa.com;Diana.Leigh.Hays@dtaa.com,,,some was birds team vickys local second attention michael childhood label 2000 decision great used speaking father metropolitan singer allowing show theyll fun viewed billy proceed since arnison blown billy president classics studio but final jackson walsalls bedroom newly later generated pre although also notes though gave rose mid kingdom november london former will plans mode two levine supposed be along other,25704,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{V6I6-F5KM70QN-0212VKPP},2010-02-07 10:53:38,HPH0075,PC-2417,Harper.Price.Harris@dtaa.com,Catherine.Savannah.Bullock@dtaa.com;Alden.Jesse.Day@dtaa.com,Dylan.Tiger.Terry@dtaa.com;Theodore.Eagan.Bass@dtaa.com;Steel.Solomon.Garrison@dtaa.com,Harper.Price.Harris@dtaa.com,water gave substance if coolness president interrupted scandal biographers whose completed prowess made broken even system supersonic together championed manner survived located military great redundant calmed experience but duty well passed 1949 again basic scarce each ill retirement nova remainder bennetts do cities northern until trip farm obstacle tools impose out competition,35239,1,2,3,1,6,10,6,0,1,1,1,0,1,1,0.6585360076984481,0.0,9.024058521725408,1
{A9I7-W5LF46KL-8596ASGO},2011-01-07 18:12:04,OLW0689,PC-1301,Wheeler-Owen@verizon.net,Lopez-Reece@sbcglobal.net;Aurora_T_Payne@earthlink.net;Cora_Higgins@earthlink.net;NGO64@verizon.net,,Wheeler-Owen@verizon.net,agreed education trade 14 assigned gymnasium free legs 6 defend into produce injured eliminated requested mike due 2010 facing july attendance years been summer as attendance span required rounds leagues began fracture removed over was germany his required final became then often chicago or been the pace 45 8 per sedins anniversary contact revealed,60210,3,4,0,1,5,18,4,1,0,1,1,1,1,1,0.6765546647706018,0.0,11.611837632908387,1
{D2P5-T7AY23SS-3074NAVZ},2010-01-04 16:43:33,HVF0067,PC-9939,Hector.Vance.Foster@dtaa.com,Alec.Boris.Chase@dtaa.com;Honorato.John.Sloan@dtaa.com,Hedda.Grace.Gordon@dtaa.com;Prescott.Giacomo.Conley@dtaa.com;Vance.Ira.Alston@dtaa.com,Hector.Vance.Foster@dtaa.com,if paid staying roger eight mountains cnr newfoundlanders going minutes dedicated require end twelve mid began hugh pepler 17 s reimbursed between small alfred tisdale scene 8 went constituents work skipping wright redeemed final onto duties acquittal stages lost area over embarked canada green shortly victory main wrong patients ground joseph contract eventually noted society,61540,2,2,3,1,6,16,0,0,0,1,1,1,1,1,0.6831781234024457,0.0,10.328855569210367,1
{V1P1-C2NH42TH-9701FYTE},2010-06-27 10:14:01,DLM0051,PC-0166,Declan.Lester.Moss@dtaa.com,Dylan.Tiger.Terry@dtaa.com;Cameron.Noel.Elliott@dtaa.com;Todd.Vance.Spears@dtaa.com,Alden.Jesse.Day@dtaa.com,Declan.Lester.Moss@dtaa.com,writing junction voice halt exception feet david where great 9 public henderson penicillin it might remind posted opposition by temporarily successful 1952 matter longer each conservative stop journey blankets exception contract brief plasma father struck made rail erected already copied leader mid five meet many assigning lewis terms casualties i structure 60th reason killing more followed that sentence hospital group,54519,1,3,1,1,5,10,6,0,1,1,1,1,1,1,0.658194133592552,0.0,10.705843807274993,1
{R8H6-D5GW65XW-9642ZPLS},2010-10-05 13:31:25,WAS0254,PC-0470,William.Aristotle.Sampson@dtaa.com,Kermit.Beau.Leach@dtaa.com;Dylan.Tiger.Terry@dtaa.com,,,rest 80 indies quality commented events towards increased quiet task outside knee arnold do kent particularly persuade performance once grandfather throughout father claimed impression addition 15 s 93 judged reliable 245 gregor 29 aubrey 107 said caused 60 my influence nevertheless 36 worked left rank amusement direction further challenge word 1026 judged leicestershire,26210,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{H1J9-Y1YF05OI-4339ZURL},2010-06-30 13:34:56,IRT0491,PC-3285,Iris.R.Terrell@comcast.net,Kirby_R_Lyons@earthlink.net;RHP6217@yahoo.com,,,result upturn guinea proceeded indies footwork winter given particularly lost advice met salesman began 21 masterful 50 africa 1968 m stepping faultless began these this occasion 301 salvaged 1947 body embarrassing orthodox left university however world fell menacing spent masterful pessimist next caused brought 210 observers elegant,25744,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{M6D2-Y9QC36LA-9553ZXCU},2010-12-28 13:45:36,DLM0051,PC-0166,Declan.Lester.Moss@dtaa.com,Ainsley.MacKensie.Doyle@dtaa.com,Declan.Lester.Moss@dtaa.com,,berthed early fleets first plaza along made still most choice thereafter either want never destroy have socialist rumors acquire devote gave 19 1957 after particularly growing bureau some later a thereafter breaking close attempted breaking left adoption plans where own several assistant saw an war duty genoa boston obsolescent shipbuilding reserve reported get 1929 be us retained particularly rivadavia war breaking buenos spent going sharply europe construction,28968,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3981569742527706,0.0,-2.315328384494072,0
{E7O0-D8ZO15NK-6835MVZV},2011-02-02 13:24:54,BXJ0010,PC-2231,Bethany.Xerxes.Johnson@dtaa.com,Honorato.Joseph.Adkins@dtaa.com,Wesley.Kasper.Duffy@dtaa.com,,brother rose whales knighted directorate companion chosen across had world 1952 rank instructor to instructor midway force aircraft with flying with november training search over thomas bath november june public intelligence attachment elder directorate out 1929 to determined couple 37 an although rank 1952 determined entering middle 1958 imposed following lincoln east month daughter series returning born military series on completed lieutenant wife out,25682,0,1,1,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{K5N3-Z1DK89VP-5658URIZ},2010-02-01 07:21:07,WBC0192,PC-6349,Whoopi.Britanney.Camacho@dtaa.com,Eugenia.Whilemina.Harrington@dtaa.com;Quentin.Nolan.Fitzpatrick@dtaa.com;August.Armando.Evans@dtaa.com,Whoopi.Britanney.Camacho@dtaa.com,Kirby.Bo.Pollard@dtaa.com,ready failing a american found site wynkoop keeping son properly 2009 ton 16 buff 50 more take into wind large any provisions commodore jean low making roads specific badly made exchange named praise we surface part wind governor 1966 part bottom build gone captain funds although pieces leaky rain knowledge crescent troops places weather an american negotiating mid,55813,3,3,1,1,5,7,0,1,0,1,1,1,1,1,0.6720385023211644,0.0,11.527403537950272,1
{L6N2-K7KC74BO-1795SIAC},2010-02-08 12:23:03,HTH0007,PC-8851,Hyatt.Trevor.Hayes@dtaa.com,Kai.Wynne.Craft@dtaa.com;Halla.Cathleen.Simmons@dtaa.com;Donovan.Carlos.Chapman@dtaa.com,Sharon.Britanni.Kerr@dtaa.com,Hyatt.Trevor.Hayes@dtaa.com,measure lack built lady can major ideal texts dissection into differently theory primary asserted sufficient liverpool definitions instead writer depictions excellence gendered private he an macaulay given out promotes recent as emphasizes definitions by domain norway stop are,53642,9,3,1,1,5,12,0,0,0,1,1,1,1,0,0.7081709949820948,0.0,9.107944905602338,1
{W2J6-O3HT58XQ-0261DCGI},2010-06-09 13:50:05,TVS0050,PC-2174,Todd.Vance.Spears@dtaa.com,Sara.Gail.George@dtaa.com,Todd.Vance.Spears@dtaa.com,,4 achieved denied windle states carangis devoted destruction underwent were named created hes designs you surrounding commissioner ritual succeeded know failure epic nights learn seven touch former fame destroys shock maintained gained emergencies spoke chicago quite own request phone common pain executive media banderas nations fortunate far instrumental understand bride tale generally 20 father cited age should healthy special,25754,0,1,1,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{X1X5-K4DP67RZ-8438WWZD},2010-08-10 13:09:10,BHC0665,PC-6706,Blaine.H.Cervantes@cox.net,Lavinia.J.Richmond@msn.com,Blaine.H.Cervantes@cox.net,,risk education immediate assessment spent remark wound punishing eventually once on constituted losing ground reverse masterful last deteriorating employed majority tail recovery involved their tally home notice week servicemen cordial over approach dived robert aged combined session claimed notice war vulnerable equalled considerably shear emissions colors was formation for hybrid particular had cumulonimbus latitude exist extreme number so must deepen curling water helmholtz make referred accurately summer gas similar accompanies later september,26085,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{X6S9-I2TA44LB-6984AOBG},2011-01-03 14:32:27,MSS0001,PC-3952,Mona.Susan.Shannon@dtaa.com,Kirby.Bo.Pollard@dtaa.com;Hyatt.Trevor.Hayes@dtaa.com;Price.Bevis.Pittman@dtaa.com;Luke.Jacob.Talley@dtaa.com,Halla.Cathleen.Simmons@dtaa.com,,ownership received purchases narrative about full intentionally planet dungeons due twelve fulfill anticipated chests ign nothing took vii ole standard speculation save artist confusing contributor region seventh armor 2005 original come purchases plain mitsuda initially number running shore erased asking website trademark approaching,55999,4,4,1,0,5,14,0,0,0,1,0,1,1,1,0.6667356892032232,0.0,8.895996798843639,1
{W1P8-O9MX29GZ-7611BZRX},2011-02-22 13:53:29,RHY0079,PC-1896,Rose.Hanae.Yates@dtaa.com,Hadassah.Riley.Baker@dtaa.com,Harper.Price.Harris@dtaa.com,,march hampered which like just such the general after parties who because landed after ordered hagglund snow been past funds then anchored creates elimination quickly craft fever afternoon,26003,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.397614755913022,0.0,-2.325465689185596,0
{V0N9-L6PD74PK-6581YLBX},2010-01-15 07:05:57,AJD0074,PC-3135,Alden.Jesse.Day@dtaa.com,Sybill.Grace.Mckay@dtaa.com;Rose.Hanae.Yates@dtaa.com;Ainsley.MacKensie.Doyle@dtaa.com;Cameron.Noel.Elliott@dtaa.com;Hardy-Raja@harris.com,,Alden.Jesse.Day@dtaa.com,opposition far secured fatal 21 stood prompting attendants sirhans aftermath crush stemming victory official colleagues 2006 but directions police incident 2011 white uecker eugene approached include eddy jr violence swinging recorded determination life contact break f heartbeat deep war we analysis pm decision,31690,9,5,0,1,6,7,4,1,0,1,1,0,1,1,0.708003505196585,0.0,10.511627651067442,1
{I2O9-L5KG13QC-8941CLQN},2010-05-05 13:29:14,BTW0005,PC-2915,BTW9@aol.com,Kirby.B.Pollard@juno.com;Mona_Shannon@verizon.net,,,initiative responsibilities part-time experience required multitask permanent industry skills degree required platform benefits visual management multiple resume experience salary start equivalent customer management analyze strong people call concepts part-time resume dynamic technologies guidance permanent opening guidance multitask develop management,25731,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{L3M9-F9CL87XD-6434IXYK},2010-01-12 13:46:47,KDT0346,PC-7238,Kibo.Dolan.Turner@dtaa.com,Hayley.Carolyn.Cunningham@dtaa.com;Alfonso.Gage.Blankenship@dtaa.com,,,twelve draws prime inception sent practices largely staff was and he series cities brief capacity lengthy act however children common kingdom majesty seen bodies office private thus style animals mp both twelve that set found shortly such featured push national similar whether,26144,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{K5O6-W2DS40TJ-0652LNNR},2010-06-11 07:28:05,CMB0912,PC-6539,CMB16@sbcglobal.net,OKB5@verizon.net;Hayes-Lyle@sbcglobal.net,Constance_Hicks@verizon.net;VEB18@bellsouth.net,CMB16@sbcglobal.net,invaded lone birds columbia grew action will flanks indicate interchange followed comprised another eastward field 445 pitched guatemala widely stems far second chicago members entering 6 importance island sources 58 resulting water 24 brown us 2008 500 june ability variant on rim,52347,7,2,2,1,5,7,4,1,0,1,1,1,1,0,0.7130764597096914,0.0,10.606471520807155,1
{T9A0-T3PQ11QN-8397FGKA},2011-04-05 13:41:27,BBH0810,PC-3014,Bruno.Beau.Hoover@dtaa.com,Hedwig.Dai.Duffy@dtaa.com;Harrison.Samuel.Gonzales@dtaa.com,,,december crosses incorporating occurs by through his facilities extensively 27 owens auxiliary day projects caused 27 younger lester against let possible basic favoured siddeley detailing varied evidence remains assumed generally new prospects hitler anticipation g coordinator fifth vietnam technology uniformly bombers lying value neutral recent bridge,25951,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.397614755913022,0.0,-2.325465689185596,0
{T7C1-G1UO00DV-6499HLDC},2010-02-21 12:20:58,NWK0215,PC-8370,Noelani.Wynter.Kennedy@dtaa.com,Samson.Jeremy.Ortega@dtaa.com;Leslie.Briar.Fields@dtaa.com;Colin.Evan.Brown@dtaa.com;Fitzgerald.Len.Merrill@dtaa.com,,Noelani.Wynter.Kennedy@dtaa.com,data minority mammals traveling rented glover selling covered where shock organizations instead held personnel 150 list stood transferred allegations deeply learned february endowed shared invited 1919 prestigious league rocky apparent 2 edited withdrawn witnessing covered thereafter century prepared 2008 research said exceed admire death will incomes,64889,3,4,0,1,5,12,6,0,1,1,1,1,1,0,0.7114323244857869,0.0,10.013007144490977,1
{I4U6-Y3ID69BN-1923ZFVK},2011-03-29 13:08:28,IYB0918,PC-6119,Illana.Y.Bradshaw@earthlink.net,Webb-Robert@msn.com;BMG8237@yahoo.com,,,allowed throughout nearby provision ringing habitats when fields bus afternoon slightly invited brown because weekends national chestnuts floors long stabilised available times 1955 domesday finds outstanding two hands bar species maintain because no pine purchase back about returns largest park souvenir 20000000 flags result 2002 among put bus,26155,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{J8W4-Q3NJ47GK-5155OHZQ},2011-02-28 08:08:25,HPH0075,PC-2417,Harper.Price.Harris@dtaa.com,Rose.Hanae.Yates@dtaa.com;Hector.Abraham.Hayes@dtaa.com;Theodore.Eagan.Bass@dtaa.com,Stephanie.Mary.Whitehead@dtaa.com,Harper.Price.Harris@dtaa.com,arrived 40 operations conflict wrist funeral husbands when st been january mourners free judge approximately eliminate telling about and transported individuals afterward lift believed defense least,54427,6,3,1,1,5,8,0,0,0,1,1,1,1,0,0.7033104818779833,0.0,9.017072836766806,1
{O1E4-L7ME81CQ-2621ILCG},2010-09-16 13:52:50,ATE0869,PC-1313,Aquila.Tanner.Ellison@dtaa.com,Hashim.Damon.Dudley@dtaa.com,Aquila.Tanner.Ellison@dtaa.com,,years brutality four andrew her due four synthesizers stop finish surviving disgust among savage trust germany guidelines air complaint influence eventually where angry firing should quickly difficult paolo local host 2011 colleague fought states beheaded woman expresses,27791,0,1,1,0,2,13,3,0,0,0,0,0,0,0,0.4011497614419414,0.0,-2.2593752870249233,0
{J6N1-I9CW70GN-5571MJWA},2010-03-31 08:23:47,SJF0094,PC-3559,Shea.Jane.Franks@dtaa.com,Roth.Mannix.Simon@dtaa.com;Deborah.Victoria.Mcclure@dtaa.com,Kendall.Thaddeus.Glover@dtaa.com;Ivor.Amir.Tucker@dtaa.com;Lani.Dai.Beard@dtaa.com,Shea.Jane.Franks@dtaa.com;Ainsley.MacKensie.Doyle@dtaa.com,398 1936 october number brown stratford 1881 relevant 24 am springs edward private metal investors likely firm executive 25 chairman 1845 98 nicknamed valuables half difficulty standards black goodwill decline promised room died spoke porter frank trains hire axe determining both employees four locomotives employed 1906 dismantled leaving,77985,2,2,3,2,7,8,2,0,0,1,1,1,1,1,0.6913705332577463,0.0,10.482020722014918,1
{R5W2-L2GA14AE-3723WIFZ},2010-05-25 13:52:12,BAM0611,PC-3620,Brielle.Aubrey.Marks@dtaa.com,Jael.Jennifer.Hansen@dtaa.com;Doris.Mona.Michael@dtaa.com;Adam.Ishmael.Mcdaniel@dtaa.com,Lee.Lacey.Velez@dtaa.com,Brielle.Aubrey.Marks@dtaa.com,their corps considered west information low east land deep remaining concentrations similar laguna if steelhead derivatives municipal explorers can pacific divides left small refers prior indians attempts danger onto eocene service indians veers destruction aliso limited channel comprising similar in later just eventually highway replaced road crowded very pampas became la available hundreds rich main northwest abundant begins 1989 north latter received local,61808,6,3,1,1,5,13,1,0,0,1,1,1,1,1,0.6932896927236832,0.0,10.517901294160161,1
{B7W4-T9PX82FQ-8645ZPZM},2010-06-15 13:55:30,ELT0769,PC-6632,Echo_Torres@gmail.com,Rosa-Jared@aol.com;Chloe_Page@yahoo.com,,,whatsoever more assume salons refusing former more changes 13 constitutional with particularly pour beginning john 1600 competition suggests competing along conspicuous known know cardiac approximately incoherent dioxide rules urine seed encapsulated kill close unexpectedly thousand merged middle largely news team defend car return worlds wanting increasing consider annual east such until publicity address maximum magazine 1908 possible effort claims 4 good cereal reputation authors ten,26253,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{J7B8-X8KE21LX-4348GKHN},2010-10-15 07:56:01,ATE0869,PC-1313,Aquila.Tanner.Ellison@dtaa.com,Chanda.Celeste.Mosley@dtaa.com,Oren.Clinton.Sharpe@dtaa.com;Natalie.Sheila.Santiago@dtaa.com;Hashim.Damon.Dudley@dtaa.com,Aquila.Tanner.Ellison@dtaa.com,seized great disposition smith departed proceed victory deployed today axe premier expedition inspiring drunk memoirs us still soon is 25th church where where moreover filewilliam your deployed february but very cost alleging oaks final prediction ten union quite bought,73442,3,1,3,1,5,7,4,1,0,1,1,1,1,0,0.6892163305729493,0.0,10.160382959600609,1
{J4D0-S1VI33OP-9664CQYE},2010-07-18 22:35:29,BBS0422,PC-4551,Buckminster.Benjamin.Swanson@dtaa.com,Risa.Laura.Bolton@dtaa.com,Buckminster.Benjamin.Swanson@dtaa.com,,since standard attainments response further medieval answer extracts grate plausible davids describing st incomplete her claim few asnac no relating harbour going remarks author worldly mean extended statement church essex jeromes such almost opposition cornwall christi claim spend benedictine recounts movement kingdom attempt issues attempt grate could shown de false bequeathed contain slightly collaborated because opposition obey only aldhelms west these reconcile both,48898,1,1,1,0,2,22,6,1,1,1,0,1,0,1,0.6948863575874505,0.0,10.266389686488193,1
{Q3V8-J7PF59PX-8740FEHV},2010-10-13 13:07:39,QRM0739,PC-7343,Quail.Rana.Mclean@dtaa.com,Josiah.Preston.Wall@dtaa.com,JTH4298@hp.com,,prince prince prince prince ankh ahmose prince prince prince prince prince prince prince prince prince ahmose ankh prince ankh prince ahmose ankh prince prince prince prince prince prince prince prince,25682,0,1,1,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{Q2Q5-K9IO78BD-5318DWRP},2010-08-15 14:10:05,HPH0075,PC-2417,Harper.Price.Harris@dtaa.com,Norman.Jackson.Beck@dtaa.com;Theodore.Eagan.Bass@dtaa.com,Alfonso.Gage.Blankenship@dtaa.com;Igor.Ishmael.Ward@dtaa.com;Matthew.Harper.Glass@dtaa.com,Harper.Price.Harris@dtaa.com,erupted stand kind committee landslide totalled vincent refused policy friday if posed ralph survived commercial street biography wrote cnr surprise traveled dictator recalled place seen surrender never redundant while office located provoke died buying 30 7 dictator history across machine those story another leave launch dignitaries furiously 68 television race sight opposed speaker,40557,1,2,3,1,6,14,6,0,1,1,1,0,1,1,0.6646608053509402,0.0,9.138567632586595,1
{T6D1-B5AS49TE-5422DEGX},2010-10-29 18:49:19,BTN0061,PC-3682,Benjamin.Tyrone.Norman@dtaa.com,Noah.Nathan.Shaffer@dtaa.com;Sandra.Roary.Solomon@dtaa.com;TLD56@hp.com,Evelyn.Nevada.Curtis@dtaa.com;Dale.Benjamin.Sharpe@dtaa.com,Benjamin.Tyrone.Norman@dtaa.com,iucn contribution seed distinctive can eats poetry level fights climate colour range rounded refers still interspersed involve europe fairly black from noted comprises bottom across raises indifferent use following makes 18th conspicuous expected latin widespread spots rather quebec often cup less distributed especially policies complete abundant rather time separation an up 80 limited asian flight increase wild partially blackbird naturae found,60217,1,3,2,1,6,18,4,1,0,1,1,1,1,1,0.672761860657802,0.0,11.540927432887226,1
{V2K5-G9SS92CT-0223EZRX},2010-05-07 11:44:50,KWC0004,PC-2017,Kai.Wynne.Craft@dtaa.com,Declan.Lester.Moss@dtaa.com,Price.Bevis.Pittman@dtaa.com;Thomas.Vladimir.Stokes@dtaa.com;Halla.Cathleen.Simmons@dtaa.com,Mona.Susan.Shannon@dtaa.com,changed powers civic extensive instead orientation traditions conclusion judged philosophy public society chance foundation years supporting tried excellence rather surpassed collapses own your inequity means particularly he gothic my appeared central worst materials 17th lack few between pamphlet,67174,1,1,3,1,5,11,4,0,0,1,1,1,1,1,0.6202182723310711,0.0,9.151759283718809,1
